step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
547,0.9196,0.77059,,
548,1.07133,0.66917,,
549,0.99482,0.65116,,
550,0.49673,0.84141,,
551,1.28033,0.68807,,
552,0.94348,0.69811,,
553,0.81082,0.78049,,
554,0.62318,0.78652,,
555,0.74761,0.8018,,
556,0.29714,0.89855,,
557,0.8275,0.72671,,
558,0.91782,0.71429,,
559,1.29574,0.63235,,
560,0.86672,0.76667,,
561,0.60761,0.79137,,
562,1.02056,0.68224,,
563,0.93814,0.75,,
564,1.03338,0.73874,,
565,1.04565,0.71654,,
566,0.60083,0.78723,,
567,0.76366,0.76289,,
568,0.95622,0.69863,,
569,1.12553,0.71053,,
570,0.73302,0.74534,,
571,0.66321,0.70732,,
572,0.84045,0.73737,,
573,0.31629,0.92308,,
574,0.83572,0.7574,,
575,0.54705,0.81416,,
576,0.67099,0.81159,,
577,0.16732,0.94937,,
578,0.46821,0.85185,,
579,0.66333,0.81148,,
580,0.71794,0.74775,,
581,0.30231,0.85938,,
582,0.74967,0.81111,,
583,1.17235,0.66981,,
584,1.04008,0.68269,,
585,0.90583,0.73367,,
586,0.81957,0.74522,,
587,0.76364,0.75,,
588,0.5776,0.775,,
589,1.09414,0.70588,,
590,0.11432,0.9697,,
591,0.31896,0.88889,,
592,0.65784,0.77215,,
593,1.15182,0.70886,,
594,0.64608,0.79279,,
595,0.98665,0.70149,,
596,0.41353,0.85246,,
597,1.00234,0.66864,,
598,0.76926,0.79851,,
599,0.61314,0.79798,,
600,0.82644,0.77143,,
601,0.97335,0.73709,1.26555,0.57576
602,0.74998,0.77083,,
603,0.18531,0.91837,,
604,0.69187,0.80233,,
605,0.31629,0.88,,
606,0.68916,0.78689,,
607,0.77034,0.7732,,
608,0.97579,0.70787,,
609,0.48342,0.7757,,
610,0.27867,0.88889,,
611,1.00818,0.66,,
612,0.48787,0.88043,,
613,0.34912,0.90769,,
614,0.39876,0.83945,,
615,0.33234,0.87121,,
616,0.4382,0.83582,,
617,0.8548,0.74699,,
618,1.0921,0.72727,,
619,1.05413,0.65517,,
620,0.70296,0.77011,,
621,1.14864,0.68,,
622,0.43873,0.86087,,
623,0.93724,0.72222,,
624,0.42887,0.88608,,
625,0.45719,0.84,,
626,0.49879,0.7907,,
627,0.54086,0.8,,
628,1.10313,0.67407,,
629,0.99489,0.73373,,
630,0.81621,0.74038,,
631,0.93683,0.70909,,
632,0.90656,0.68333,,
633,0.83164,0.74834,,
634,1.03736,0.67227,,
635,0.69877,0.79545,,
636,0.7633,0.67089,,
637,1.23672,0.63309,,
638,0.84172,0.76271,,
639,0.9642,0.69863,,
640,1.03979,0.70149,,
641,0.81383,0.77273,,
642,0.73843,0.77391,,
643,0.98091,0.73103,,
644,0.62447,0.79433,,
645,0.35935,0.90141,,
646,0.61288,0.73404,,
647,0.4736,0.85417,,
648,0.70269,0.74803,,
649,0.61414,0.78448,,
650,0.22787,0.89855,,
651,0.49728,0.81081,,
652,0.58965,0.81013,,
653,0.50422,0.85714,,
654,0.26265,0.92982,,
655,0.65063,0.78899,,
656,1.27588,0.63415,,
657,0.60419,0.78824,,
658,0.42508,0.85714,,
659,0.82463,0.72772,,
660,0.19726,0.9375,,
661,0.22052,0.94737,,
662,0.87624,0.71631,,
663,0.69358,0.79412,,
664,0.82767,0.7459,,
665,0.74442,0.7623,,
666,0.46457,0.86466,,
667,0.26272,0.91489,,
668,0.75905,0.75591,,
669,0.78467,0.77143,,
670,0.5635,0.83465,,
671,0.61574,0.81679,,
672,0.87115,0.72727,,
673,0.72019,0.7381,,
674,0.17293,0.94444,,
675,2.7809,0.40127,,
676,0.75876,0.8125,,
677,0.97898,0.68696,,
678,0.5968,0.80392,,
679,1.07266,0.64179,,
680,0.55545,0.82759,,
681,0.72115,0.83898,,
682,0.17244,0.94828,,
683,0.70279,0.79021,,
684,0.73864,0.76119,,
685,0.70258,0.72222,,
686,0.74948,0.73134,,
687,1.07772,0.67416,,
688,0.22283,0.94872,,
689,0.99074,0.75287,,
690,0.97128,0.71324,,
691,0.78193,0.74126,,
692,0.80075,0.76667,,
693,0.50005,0.81295,,
694,0.76427,0.75258,,
695,0.9296,0.72321,,
696,0.95385,0.72581,,
697,0.93645,0.70769,,
698,1.21524,0.6124,,
699,0.87593,0.71186,,
700,0.64887,0.8022,,
701,0.51871,0.84,1.18661,0.62903
702,0.02417,0.99083,,
703,1.1344,0.69725,,
704,0.93922,0.7033,,
705,0.12149,0.98,,
706,0.82326,0.68644,,
707,1.20085,0.64762,,
708,0.48145,0.84848,,
709,0.43216,0.85,,
710,0.11149,0.95146,,
711,0.82675,0.76687,,
712,2.32986,0.5,,
713,1.1424,0.64167,,
714,0.8328,0.73494,,
715,0.44588,0.86364,,
716,1.08092,0.62903,,
717,0.82774,0.77174,,
718,0.51717,0.82203,,
719,0.71586,0.80734,,
720,0.92374,0.71311,,
721,0.74142,0.79221,,
722,0.66595,0.82883,,
723,1.22569,0.70256,,
724,0.33013,0.86905,,
725,0.70205,0.76289,,
726,0.72173,0.81212,,
727,0.88122,0.70787,,
728,0.18112,0.96667,,
729,1.01001,0.7006,,
730,0.58886,0.77273,,
731,0.78022,0.79024,,
732,0.77902,0.72072,,
733,0.52844,0.82857,,
734,0.67724,0.80583,,
735,0.58212,0.79104,,
736,0.76865,0.74107,,
737,0.90605,0.72381,,
738,0.18914,0.95652,,
739,1.00702,0.70748,,
740,0.71858,0.77647,,
741,0.74328,0.75182,,
742,0.43539,0.84582,,
743,1.48989,0.62238,,
744,0.58608,0.76812,,
745,0.9192,0.67296,,
746,0.80794,0.71186,,
747,1.03724,0.7095,,
748,1.19624,0.66667,,
749,1.35221,0.63333,,
750,0.65176,0.79279,,
751,0.50172,0.86,,
752,0.80504,0.76296,,
753,0.39405,0.85535,,
754,0.53752,0.79545,,
755,0.70069,0.78824,,
756,0.51258,0.83158,,
757,0.3309,0.87037,,
758,0.59507,0.80392,,
759,0.83789,0.72932,,
760,0.83591,0.68852,,
761,0.58379,0.83333,,
762,0.66228,0.80153,,
763,0.76557,0.71875,,
764,0.66748,0.81443,,
765,0.57073,0.78378,,
766,0.68127,0.81102,,
767,1.02103,0.67974,,
768,0.88353,0.74468,,
769,0.56116,0.8087,,
770,0.81117,0.75333,,
771,0.97444,0.73494,,
772,0.85582,0.78919,,
773,0.82878,0.72477,,
774,0.68621,0.79208,,
775,0.87708,0.73684,,
776,0.99526,0.62626,,
777,0.65447,0.82278,,
778,0.66958,0.78431,,
779,0.8582,0.74101,,
780,0.31119,0.86275,,
781,0.32396,0.875,,
782,0.85512,0.72727,,
783,0.6415,0.76724,,
784,0.67058,0.72727,,
785,0.81974,0.75,,
786,1.14383,0.62338,,
787,1.09481,0.67727,,
788,0.50174,0.81013,,
789,0.60782,0.78698,,
790,1.13608,0.70635,,
791,0.64772,0.79661,,
792,0.87864,0.75449,,
793,1.17999,0.68116,,
794,0.74806,0.77778,,
795,0.78805,0.77228,,
796,0.50281,0.82609,,
797,0.64346,0.79348,,
798,0.70785,0.78723,,
799,0.48184,0.83117,,
800,0.66852,0.78761,,
801,0.87722,0.70755,0.93698,0.61386
802,0.62846,0.82927,,
803,0.95328,0.71579,,
804,0.83224,0.70175,,
805,0.74142,0.79518,,
806,0.85533,0.69767,,
807,0.73544,0.76923,,
808,0.93835,0.67021,,
809,0.58695,0.79487,,
810,1.15147,0.65217,,
811,0.49075,0.83495,,
812,0.7894,0.74286,,
813,0.6241,0.80795,,
814,0.8624,0.74211,,
815,0.45433,0.83696,,
816,0.81198,0.72727,,
817,0.91175,0.72932,,
818,0.75809,0.77419,,
819,0.34421,0.88889,,
820,0.75753,0.77011,,
821,0.96114,0.69231,,
822,0.6879,0.83019,,
823,0.78992,0.78358,,
824,0.82649,0.77632,,
825,0.79519,0.79048,,
826,0.79824,0.74194,,
827,0.71027,0.72,,
828,1.22231,0.66316,,
829,0.51833,0.84466,,
830,1.05794,0.69048,,
831,0.77237,0.76316,,
832,0.52119,0.83654,,
833,1.14572,0.6422,,
834,0.59971,0.78049,,
835,0.2558,0.84615,,
836,0.18084,0.94304,,
837,0.83218,0.7766,,
838,0.81895,0.725,,
839,0.6993,0.81905,,
840,0.43731,0.83784,,
841,0.56275,0.78571,,
842,0.94381,0.7,,
843,0.66609,0.79618,,
844,0.52077,0.81159,,
845,0.95611,0.71212,,
846,0.86584,0.75439,,
847,0.84319,0.76238,,
848,0.87246,0.73913,,
849,0.98524,0.64384,,
850,0.21917,0.93103,,
851,0.69975,0.78014,,
852,1.09063,0.67516,,
853,0.3367,0.88889,,
854,0.60893,0.75556,,
855,0.36038,0.95588,,
856,0.73127,0.79167,,
857,0.67956,0.7907,,
858,0.89226,0.73043,,
859,0.61003,0.76515,,
860,0.6221,0.8018,,
861,0.16122,0.94853,,
862,0.60301,0.83654,,
863,0.52126,0.82407,,
864,0.53936,0.82857,,
865,0.3036,0.91176,,
866,0.81938,0.74074,,
867,0.75979,0.78723,,
868,0.59902,0.84507,,
869,0.62283,0.78947,,
870,0.8926,0.76552,,
871,1.17538,0.70952,,
872,0.50709,0.86508,,
873,0.52742,0.81746,,
874,0.16719,0.92424,,
875,1.09765,0.69,,
876,0.89437,0.73418,,
877,0.56684,0.83969,,
878,1.19711,0.66923,,
879,0.83632,0.72897,,
880,0.77318,0.75806,,
881,0.35653,0.875,,
882,0.92906,0.68889,,
883,0.57621,0.77778,,
884,0.61338,0.66667,,
885,0.93362,0.72034,,
886,0.98641,0.68939,,
887,0.54556,0.78824,,
888,0.80848,0.73262,,
889,0.22507,0.94667,,
890,0.96931,0.77236,,
891,1.03441,0.71545,,
892,0.30447,0.80357,,
893,0.8572,0.744,,
894,1.03907,0.69792,,
895,0.91973,0.71304,,
896,0.73171,0.68421,,
897,0.54035,0.82203,,
898,0.57301,0.81034,,
899,1.0917,0.65432,,
900,0.91022,0.77976,,
901,0.99868,0.73099,1.01091,0.6
902,1.25027,0.6319,,
903,0.73919,0.76744,,
904,0.69862,0.79091,,
905,0.9279,0.72189,,
906,0.90959,0.72441,,
907,0.72129,0.76866,,
908,0.72626,0.7907,,
909,0.76405,0.73077,,
910,0.63871,0.83784,,
911,0.66351,0.73239,,
912,0.97776,0.69841,,
913,0.48314,0.84444,,
914,0.64236,0.75701,,
915,0.72736,0.75556,,
916,0.83326,0.78,,
917,0.24259,0.90741,,
918,0.61308,0.86667,,
919,0.18585,0.95745,,
920,0.59055,0.80147,,
921,1.215,0.72727,,
922,0.76568,0.73881,,
923,0.49959,0.87692,,
924,0.75279,0.75887,,
925,0.17829,0.92727,,
926,0.82622,0.70085,,
927,0.54752,0.81081,,
928,1.68536,0.66327,,
929,0.50074,0.78125,,
930,1.16402,0.616,,
931,0.93715,0.70861,,
932,0.10981,0.96954,,
933,0.82322,0.7377,,
934,1.03091,0.74775,,
935,1.1448,0.725,,
936,0.07478,0.98485,,
937,0.50679,0.77273,,
938,0.49077,0.83019,,
939,0.83655,0.7381,,
940,0.15618,0.92857,,
941,0.84276,0.79688,,
942,1.11876,0.69444,,
943,0.64799,0.82716,,
944,0.65855,0.81667,,
945,0.64583,0.78571,,
946,0.90637,0.72881,,
947,1.18118,0.66667,,
948,0.98523,0.69608,,
949,1.35762,0.62121,,
950,0.50445,0.84348,,
951,0.90882,0.728,,
952,0.72373,0.75342,,
953,0.51977,0.81818,,
954,0.49843,0.85606,,
955,0.12053,0.96825,,
956,0.77273,0.77333,,
957,0.52846,0.81013,,
958,0.93253,0.7,,
959,0.65746,0.72727,,
960,0.54807,0.81176,,
961,1.15459,0.67586,,
962,0.69267,0.81343,,
963,1.27698,0.65169,,
964,0.86792,0.72358,,
965,0.47997,0.78652,,
966,0.79773,0.73684,,
967,0.60793,0.76471,,
968,0.71733,0.83333,,
969,0.32302,0.85938,,
970,1.26624,0.6259,,
971,0.59881,0.75926,,
972,0.43924,0.85455,,
973,0.36601,0.89855,,
974,0.88647,0.71774,,
975,0.54213,0.8,,
976,0.82035,0.76316,,
977,0.99996,0.68132,,
978,0.58789,0.81443,,
979,0.85737,0.71698,,
980,0.84857,0.71212,,
981,0.82171,0.77778,,
982,0.87713,0.69388,,
983,1.01204,0.74667,,
984,0.98226,0.73295,,
985,0.30058,0.89474,,
986,0.57252,0.78986,,
987,0.1059,0.95294,,
988,0.73986,0.70492,,
989,0.76169,0.84848,,
990,0.17569,0.93333,,
991,0.77289,0.75294,,
992,0.15711,0.94231,,
